image_path,image_relpath,source_data_id,group_id,class_id,model_label,class_name,n_annotations,n_defect_annotations,is_mixed,split
D:/hn_old-building_raw/raw/images/TS_아파트/구조물(균열)/보통/RGB/S-210902_A_C_2_R_4745003-1.jpg,TS_아파트/구조물(균열)/보통/RGB/S-210902_A_C_2_R_4745003-1.jpg,S-210902_A_C_2_R_4745003-1,S-210902_A_C_2_R_4745003,2,1,불량,3,3,0,train
D:/hn_old-building_raw/raw/images/TS_아파트/구조물(균열)/보통/RGB/S-210902_A_C_2_R_4745003-10.jpg,TS_아파트/구조물(균열)/보통/RGB/S-210902_A_C_2_R_4745003-10.jpg,S-210902_A_C_2_R_4745003-10,S-210902_A_C_2_R_4745003,2,1,불량,3,3,0,train
D:/hn_old-building_raw/raw/images/TS_아파트/구조물(균열)/보통/RGB/S-210902_A_C_2_R_4745003-11.jpg,TS_아파트/구조물(균열)/보통/RGB/S-210902_A_C_2_R_4745003-11.jpg,S-210902_A_C_2_R_4745003-11,S-210902_A_C_2_R_4745003,2,1,불량,3,3,0,train
D:/hn_old-building_raw/raw/images/TS_아파트/구조물(균열)/보통/RGB/S-210902_A_C_2_R_4745003-12.jpg,TS_아파트/구조물(균열)/보통/RGB/S-210902_A_C_2_R_4745003-12.jpg,S-210902_A_C_2_R_4745003-12,S-210902_A_C_2_R_4745003,2,1,불량,3,3,0,train
D:/hn_old-building_raw/raw/images/TS_아파트/구조물(균열)/보통/RGB/S-210902_A_C_2_R_4745003-13.jpg,TS_아파트/구조물(균열)/보통/RGB/S-210902_A_C_2_R_4745003-13.jpg,S-210902_A_C_2_R_4745003-13,S-210902_A_C_2_R_4745003,2,1,불량,3,3,0,train
D:/hn_old-building_raw/raw/images/TS_아파트/구조물(균열)/보통/RGB/S-210902_A_C_2_R_4745003-14.jpg,TS_아파트/구조물(균열)/보통/RGB/S-210902_A_C_2_R_4745003-14.jpg,S-210902_A_C_2_R_4745003-14,S-210902_A_C_2_R_4745003,2,1,불량,3,3,0,train
D:/hn_old-building_raw/raw/images/TS_아파트/구조물(균열)/보통/RGB/S-210902_A_C_2_R_4745003-15.jpg,TS_아파트/구조물(균열)/보통/RGB/S-210902_A_C_2_R_4745003-15.jpg,S-210902_A_C_2_R_4745003-15,S-210902_A_C_2_R_4745003,2,1,불량,2,2,0,train
D:/hn_old-building_raw/raw/images/TS_아파트/구조물(균열)/보통/RGB/S-210902_A_C_2_R_4745003-16.jpg,TS_아파트/구조물(균열)/보통/RGB/S-210902_A_C_2_R_4745003-16.jpg,S-210902_A_C_2_R_4745003-16,S-210902_A_C_2_R_4745003,2,1,불량,2,2,0,train
D:/hn_old-building_raw/raw/images/TS_아파트/구조물(균열)/보통/RGB/S-210902_A_C_2_R_4745003-18.jpg,TS_아파트/구조물(균열)/보통/RGB/S-210902_A_C_2_R_4745003-18.jpg,S-210902_A_C_2_R_4745003-18,S-210902_A_C_2_R_4745003,2,1,불량,3,3,0,train
D:/hn_old-building_raw/raw/images/TS_아파트/구조물(균열)/보통/RGB/S-210902_A_C_2_R_4745003-19.jpg,TS_아파트/구조물(균열)/보통/RGB/S-210902_A_C_2_R_4745003-19.jpg,S-210902_A_C_2_R_4745003-19,S-210902_A_C_2_R_4745003,2,1,불량,3,3,0,train
