image_path,source_data_id,class_id,model_label,class_name,group_id,split
D:/hn_old-building_raw/raw/images/TS_???/???(??)/??/RGB/S-210902_A_C_2_R_4745003-1.jpg,S-210902_A_C_2_R_4745003-1,2,1,??,S-210902_A_C_2_R_4745003,test
D:/hn_old-building_raw/raw/images/TS_???/???(??)/??/RGB/S-210902_A_C_2_R_4745003-10.jpg,S-210902_A_C_2_R_4745003-10,2,1,??,S-210902_A_C_2_R_4745003,test
D:/hn_old-building_raw/raw/images/TS_???/???(??)/??/RGB/S-210902_A_C_2_R_4745003-11.jpg,S-210902_A_C_2_R_4745003-11,2,1,??,S-210902_A_C_2_R_4745003,test
D:/hn_old-building_raw/raw/images/TS_???/???(??)/??/RGB/S-210902_A_C_2_R_4745003-12.jpg,S-210902_A_C_2_R_4745003-12,2,1,??,S-210902_A_C_2_R_4745003,test
D:/hn_old-building_raw/raw/images/TS_???/???(??)/??/RGB/S-210902_A_C_2_R_4745003-13.jpg,S-210902_A_C_2_R_4745003-13,2,1,??,S-210902_A_C_2_R_4745003,test
D:/hn_old-building_raw/raw/images/TS_???/???(??)/??/RGB/S-210902_A_C_2_R_4745003-14.jpg,S-210902_A_C_2_R_4745003-14,2,1,??,S-210902_A_C_2_R_4745003,test
D:/hn_old-building_raw/raw/images/TS_???/???(??)/??/RGB/S-210902_A_C_2_R_4745003-15.jpg,S-210902_A_C_2_R_4745003-15,2,1,??,S-210902_A_C_2_R_4745003,test
D:/hn_old-building_raw/raw/images/TS_???/???(??)/??/RGB/S-210902_A_C_2_R_4745003-16.jpg,S-210902_A_C_2_R_4745003-16,2,1,??,S-210902_A_C_2_R_4745003,test
D:/hn_old-building_raw/raw/images/TS_???/???(??)/??/RGB/S-210902_A_C_2_R_4745003-18.jpg,S-210902_A_C_2_R_4745003-18,2,1,??,S-210902_A_C_2_R_4745003,test
D:/hn_old-building_raw/raw/images/TS_???/???(??)/??/RGB/S-210902_A_C_2_R_4745003-19.jpg,S-210902_A_C_2_R_4745003-19,2,1,??,S-210902_A_C_2_R_4745003,test
